"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-11-17T05:00:00.000Z","330.26","335.50","329.35","335.04","0.2543","-0.0549","14,519,213"
"2023-11-20T05:00:00.000Z","334.89","341.87","334.19","339.97","1.47","1.16","16,976,129"
"2023-11-21T05:00:00.000Z","338.33","339.90","335.90","336.98","-0.8795","-1.19","12,027,863"
"2023-11-22T05:00:00.000Z","339.21","342.92","338.58","341.49","1.34","1.03","10,715,177"
"2023-11-24T05:00:00.000Z","340.13","341.86","336.77","338.23","-0.9546","-1.26","5,467,488"
"2023-11-27T05:00:00.000Z","336.18","339.90","334.20","334.70","-1.04","-1.35","15,684,454"
"2023-11-28T05:00:00.000Z","333.40","339.38","333.40","338.99","1.28","0.9724","12,637,245"
"2023-11-29T05:00:00.000Z","339.69","339.90","330.78","332.20","-2.00","-2.31","16,024,497"
"2023-11-30T05:00:00.000Z","331.89","333.50","322.40","327.15","-1.52","-1.83","23,146,387"
"2023-12-01T05:00:00.000Z","325.48","326.86","320.76","324.82","-0.7122","-1.02","15,276,375"
"2023-12-04T05:00:00.000Z","317.29","320.86","313.66","320.02","-1.48","-1.79","19,037,080"
"2023-12-05T05:00:00.000Z","318.98","321.88","315.39","318.29","-0.5406","-0.8499","16,952,128"
"2023-12-06T05:00:00.000Z","321.93","322.25","317.04","317.45","-0.2639","-0.5732","11,294,337"
"2023-12-07T05:00:00.000Z","317.77","328.24","317.77","326.59","2.88","2.57","15,905,079"
"2023-12-08T05:00:00.000Z","323.09","333.17","323.00","332.75","1.89","1.58","14,087,351"
"2023-12-11T05:00:00.000Z","329.40","329.89","320.00","325.28","-2.24","-2.55","25,802,462"
"2023-12-12T05:00:00.000Z","324.60","334.47","324.56","334.22","2.75","2.44","18,485,461"
"2023-12-13T05:00:00.000Z","333.93","338.37","332.64","334.74","0.1556","-0.1537","16,353,321"
"2023-12-14T05:00:00.000Z","333.85","334.70","328.64","333.17","-0.4690","-0.7783","19,607,335"
"2023-12-15T05:00:00.000Z","331.99","338.66","331.22","334.92","0.5253","0.2160","31,776,852"
"2023-12-18T05:00:00.000Z","337.48","347.56","337.02","344.62","2.90","2.59","18,993,852"
"2023-12-19T05:00:00.000Z","345.58","353.60","345.12","350.36","1.67","1.36","17,729,362"
"2023-12-20T05:00:00.000Z","348.65","354.96","347.79","349.28","-0.3083","-0.6176","16,369,850"
"2023-12-21T05:00:00.000Z","352.98","356.40","349.21","354.09","1.38","1.07","15,289,556"
"2023-12-22T05:00:00.000Z","355.58","357.20","351.22","353.39","-0.1977","-0.5070","11,772,779"
"2023-12-26T05:00:00.000Z","354.99","356.98","353.45","354.83","0.4075","0.0982","9,898,614"
"2023-12-27T05:00:00.000Z","356.07","359.00","355.31","357.83","0.8455","0.5362","13,207,928"
"2023-12-28T05:00:00.000Z","359.70","361.90","357.81","358.32","0.1369","-0.1724","11,798,807"
"2023-12-29T05:00:00.000Z","358.99","360.00","351.82","353.96","-1.22","-1.53","14,987,092"
